study_year,subject_id,task,trial_count
2019,P01,phonemes,476
2019,P02,phonemes,479
2019,P03,phonemes,477
2019,P04,phonemes,439
2019,P05,phonemes,461
2019,P06,phonemes,474
2019,P07,phonemes,475
2019,P08,phonemes,461
2021,S01,Words,120
2021,S01,phonemes,240
2021,S01,single-phoneme,110
2021,S02,Words,213
2021,S02,phonemes,240
2021,S02,single-phoneme,220
2021,S03,Words,240
2021,S03,phonemes,240
2021,S03,single-phoneme,220
2021,S04,Words,240
2021,S04,phonemes,240
2021,S04,single-phoneme,220
2021,S05,Words,240
2021,S05,phonemes,240
2021,S05,single-phoneme,220
2021,S06,Words,240
2021,S06,phonemes,240
2021,S06,single-phoneme,220
2021,S07,Words,240
2021,S07,phonemes,240
2021,S07,single-phoneme,220
2021,S08,Words,240
2021,S08,phonemes,240
2021,S08,single-phoneme,220
2021,S09,Words,240
2021,S09,phonemes,240
2021,S09,single-phoneme,220
2021,S10,Words,240
2021,S10,phonemes,240
2021,S10,single-phoneme,220
2021,S11,Words,240
2021,S11,phonemes,240
2021,S11,single-phoneme,220
2021,S12,Words,240
2021,S12,phonemes,240
2021,S12,single-phoneme,220
2021,S13,Words,240
2021,S13,phonemes,240
2021,S13,single-phoneme,165
2021,S14,Words,240
2021,S14,phonemes,240
2021,S14,single-phoneme,220
2021,S15,Words,240
2021,S15,phonemes,240
2021,S15,single-phoneme,220
2021,S16,Words,240
2021,S16,phonemes,240
2021,S16,single-phoneme,220
